h	k	l	d (Å)	F(real)	F(imag)	|F|	2θ	I		M ID(λ)	Phase
1	3	-2	1.237916	72.481505	169.075495	183.957	76.9616	2.19695	2	1	1
6	0	-6	1.219722	-182.42118	-38.300696	186.399	78.32686	2.18998	2	1	1
3	-3	2	1.170503	-36.854699	189.413525	192.966	82.30874	2.17651	2	1	1
11	1	-3	1.254898	-35.701843	176.611228	180.184	75.73421	2.16789	2	1	1
6	-2	-4	1.279731	139.576972	103.858194	173.978	74.01516	2.10752	2	1	1
11	-1	-3	1.254898	30.642472	-174.852368	177.517	75.73421	2.1042	2	1	1
15	1	-5	0.907542	44.0586	-183.031903	188.26	116.15685	2.08077	2	1	1
9	-1	-1	1.549635	46.196358	-128.867151	136.897	59.61432	2.05552	2	1	1
3	-3	0	1.266092	-139.174171	103.921345	173.693	74.94846	2.0527	2	1	1
12	0	1	1.154192	185.353188	38.709691	189.352	83.73191	2.04816	2	1	1
10	0	5	0.916023	184.426695	38.925361	188.49	114.47352	2.0368	2	1	1
9	1	-1	1.549635	-7.971272	135.44107	135.675	59.61432	2.01899	2	1	1
15	-1	-5	0.907542	-38.097147	180.560045	184.535	116.15685	1.99925	2	1	1
7	-3	0	1.110839	29.926926	-188.966171	191.321	87.80551	1.98119	2	1	1
4	0	-6	1.251061	167.577407	37.614059	171.747	76.00769	1.95708	2	1	1
14	0	3	0.878636	-168.267871	-38.699697	172.661	122.49266	1.94552	2	1	1
1	1	-8	0.895895	-34.531111	173.617123	177.018	118.58973	1.91032	2	1	1
6	2	-4	1.279731	161.929602	-27.06195	164.175	74.01516	1.87672	2	1	1
1	-1	-8	0.895895	49.766074	-167.884988	175.106	118.58973	1.86928	2	1	1
3	1	5	1.233817	40.230989	-165.191141	170.02	77.2646	1.8641	2	1	1
3	1	-3	2.073043	-25.764246	86.106767	89.8786	43.6259	1.79836	2	1	1
6	2	-1	1.551356	-126.882741	-15.300233	127.802	59.54151	1.79637	2	1	1
3	-1	5	1.233817	-17.914981	165.64715	166.613	77.2646	1.79015	2	1	1
8	0	2	1.483194	-131.950758	-15.797394	132.893	62.57731	1.73902	2	1	1
3	-1	-3	2.073043	-5.490414	-88.160085	88.3309	43.6259	1.73696	2	1	1
6	-2	-1	1.551356	-122.001736	-28.121408	125.201	59.54151	1.724	2	1	1
2	2	-2	1.732166	-92.751011	56.796501	108.759	52.80844	1.70736	2	1	1
3	3	0	1.266092	-77.863745	-137.355956	157.891	74.94846	1.69619	2	1	1
13	1	-7	0.86739	-41.936077	151.211994	156.919	125.26148	1.69557	2	1	1
2	4	-4	0.871311	157.39713	17.401086	158.356	124.2735	1.69316	2	1	1
17	1	-3	0.867588	-34.375046	152.273252	156.105	125.21113	1.67631	2	1	1
5	1	7	0.881203	-39.507398	156.039175	160.963	121.88706	1.67206	2	1	1
4	2	2	1.491899	120.643859	45.308471	128.871	62.17139	1.65899	2	1	1
4	2	4	1.180631	-162.969049	-31.717283	166.027	81.45233	1.63533	2	1	1
2	0	3	2.133193	-82.691612	-4.960325	82.8403	42.33556	1.63426	2	1	1
10	0	-1	1.515511	-122.456715	-26.440754	125.279	61.09798	1.62948	2	1	1
17	-1	-3	0.867588	38.895454	-148.569583	153.577	125.21113	1.62245	2	1	1
13	1	-1	1.113273	26.212756	-170.686138	172.687	87.56467	1.61842	2	1	1
13	-1	-7	0.86739	25.09584	-151.178607	153.247	125.26148	1.61714	2	1	1
12	2	-2	1.062261	171.663005	40.783194	176.441	92.96237	1.61422	2	1	1
13	-1	-1	1.113273	-48.643874	164.825693	171.854	87.56467	1.60284	2	1	1
0	2	6	1.029808	176.256362	12.559409	176.703	96.83481	1.59678	2	1	1
5	-1	7	0.881203	30.287946	-154.262531	157.208	121.88706	1.59496	2	1	1
8	-2	-2	1.344609	-94.438709	-107.453387	143.056	69.90228	1.59278	2	1	1
10	2	-3	1.15777	163.018884	34.026221	166.532	83.41491	1.59207	2	1	1
0	-2	6	1.029808	162.203008	67.248469	175.591	96.83481	1.57674	2	1	1
2	4	2	0.932863	-164.231221	-39.432773	168.899	111.32589	1.57259	2	1	1
4	-2	2	1.491899	124.104855	-16.494894	125.196	62.17139	1.56572	2	1	1
0	-2	2	1.728662	-42.005272	-95.216531	104.07	52.92381	1.55556	2	1	1
7	1	-1	1.899399	17.212429	-90.857188	92.4732	47.85088	1.54474	2	1	1
2	-2	0	1.899139	-64.304395	66.36104	92.4059	47.85784	1.54198	2	1	1
4	-2	4	1.180631	-158.536131	-28.726919	161.118	81.45233	1.54005	2	1	1
10	2	-4	1.098256	-166.743051	-26.783858	168.88	89.07585	1.52344	2	1	1
7	-1	-1	1.899399	-12.253874	90.796572	91.6197	47.85088	1.51635	2	1	1
16	0	-5	0.887686	151.742845	31.209732	154.919	120.39834	1.50833	2	1	1
2	-4	-4	0.871311	138.097269	55.357723	148.779	124.2735	1.49456	2	1	1
12	-2	-2	1.062261	167.924685	22.245252	169.392	92.96237	1.48781	2	1	1
9	1	5	0.935447	38.081018	-160.115314	164.582	110.86397	1.48557	2	1	1
10	-2	-3	1.15777	158.685841	25.465221	160.716	83.41491	1.48281	2	1	1
4	4	-2	0.934515	-158.774726	-42.045726	164.248	111.02998	1.48225	2	1	1
1	1	-3	2.106342	-21.154897	76.951019	79.8059	42.90176	1.4722	2	1	1
7	3	-6	0.882284	1.813831	-150.818702	150.83	121.63501	1.46145	2	1	1
12	0	-7	0.919444	-157.331761	-30.118023	160.189	113.81393	1.4582	2	1	1
6	0	4	1.299565	140.032756	23.398255	141.974	72.70254	1.45178	2	1	1
9	3	-4	0.960598	-26.869792	163.595954	165.788	106.6224	1.44924	2	1	1
7	-3	-6	0.882284	-72.918189	129.789145	148.87	121.63501	1.42373	2	1	1
10	-2	-4	1.098256	-158.997052	-36.841595	163.21	89.07585	1.42285	2	1	1
9	-1	5	0.935447	-30.81577	157.956077	160.934	110.86397	1.42045	2	1	1
10	0	-6	1.08426	159.306718	38.994886	164.01	90.54066	1.41816	2	1	1
1	-1	-3	2.106342	-4.465468	-77.947663	78.0755	42.90176	1.40905	2	1	1
