h	k	l	d_spacing (Å)	theta (deg)	phi (deg)	delta (deg)	nu (deg)	qerror	errcode	hkl_back
8	2	0	1.3398	20.8878	0.0	0.0	41.7754	3.1952	0	[ 8.0004 -0.     -0.    ]
10	0	-4	1.324	74.2738	0.0	0.0	59.0582	0.0	0	[10. -0. -4.]
5	-1	-1	2.3887	43.6715	0.0	21.3086	24.0518	0.0	0	[ 5. -1. -1.]
12	0	-2	1.2623	49.6072	0.0	0.0	60.0	0.1633	0	[11.6063 -0.     -1.9344]
8	0	-4	1.5032	78.784	0.0	0.0	51.4585	0.0	0	[ 8. -0. -4.]
8	-2	0	1.3398	41.7123	0.0	51.6254	32.1598	0.0	0	[ 8. -2. -0.]
7	1	3	1.3253	0.0	0.0	0.0	57.9944	1.662	0	[8.0613 0.     2.7093]
0	0	2	3.6265	0.0	0.0	0.0	8.3278	1.6368	0	[1.5924 0.     0.0608]
4	2	0	1.7323	10.268	0.0	0.0	20.5368	3.1952	0	[ 4. -0.  0.]
7	-1	3	1.3253	0.0	0.0	34.6815	52.7634	0.1744	0	[ 7.3793 -1.0376  2.8961]
5	3	-2	1.1749	59.0104	0.0	0.0	28.5328	4.7928	0	[ 5. -0. -2.]
8	0	-2	1.8427	50.0721	0.0	0.0	41.4797	0.0	0	[ 8. -0. -2.]
11	1	-2	1.2964	49.7834	0.0	0.0	56.7465	1.5976	0	[11. -0. -2.]
6	2	-2	1.5033	54.5589	0.0	0.0	32.5023	3.1952	0	[ 6. -0. -2.]
0	0	6	1.2088	0.0	0.0	0.0	60.0	3.8154	0	[8.1708 0.     2.8822]
2	0	4	1.6602	0.0	0.0	0.0	50.3574	2.5045	0	[7.5205 0.     2.0868]
1	1	3	1.9787	0.0	0.0	0.0	25.8664	2.7582	0	[ 4.5851 -0.      0.5775]
11	-1	-2	1.2964	53.6288	0.0	33.9295	53.5221	0.0	0	[11. -1. -2.]
2	0	5	1.3559	0.0	0.0	0.0	60.0	2.7922	0	[ 8.1708 -0.      2.8822]
6	0	1	2.147	1.1116	0.0	0.0	35.3874	0.0	0	[ 6. -0.  1.]
3	-1	-6	1.1944	0.0	0.0	9.2354	0.0	5.1409	0	[-0.0401 -0.4836  0.0747]
3	1	-6	1.1944	0.0	0.0	0.0	0.0	5.2604	0	[0. 0. 0.]
1	3	0	1.3057	0.0	0.0	0.0	5.0944	4.7928	0	[ 0.9841 -0.      0.0228]
1	-1	3	1.9787	0.0	0.0	34.6817	21.7377	1.7917	0	[ 3.4253 -1.5928  1.3613]
5	-3	-2	1.1749	120.0	0.0	60.0	6.3692	0.6652	0	[ 5.3404 -2.5937 -2.0038]
6	-2	-2	1.5033	80.6337	0.0	46.8049	24.444	0.0	0	[ 6. -2. -2.]
8	0	-5	1.3203	90.9611	0.0	0.0	59.239	0.0	0	[ 8. -0. -5.]
1	-3	-2	1.2379	0.0	0.0	36.4677	0.0	3.2494	0	[-0.6053 -1.7911  1.1287]
7	1	-6	1.1415	102.0541	0.0	0.0	60.0	1.6606	0	[ 6.3978 -0.     -5.484 ]
7	-1	-6	1.1415	108.3457	0.0	43.2797	60.0	0.1082	0	[ 6.8744 -1.033  -5.8924]
8	0	3	1.3023	0.0	0.0	0.0	60.0	0.1087	0	[8.1708 0.     2.8822]
9	1	2	1.2819	7.6364	0.0	0.0	57.5324	1.5976	0	[ 9. -0.  2.]
2	-2	-2	1.7322	120.0	0.0	41.3196	14.4561	0.1832	0	[ 2.3395 -1.9267 -2.0323]
3	3	2	1.1705	0.0	0.0	0.0	29.0667	4.945	0	[ 5.0614 -0.      0.726 ]
9	-1	2	1.2819	11.448	0.0	34.5593	54.1977	0.0	0	[ 9. -1.  2.]
8	0	1	1.6724	10.1216	0.0	0.0	45.9317	0.0	0	[ 8. -0.  1.]
6	0	2	1.8138	0.0	0.0	0.0	43.9879	0.4446	0	[6.9249 0.     1.617 ]
6	0	3	1.5267	0.0	0.0	0.0	54.7335	0.8155	0	[7.8541 0.     2.4362]
1	-3	0	1.3057	90.0007	0.0	47.5427	0.0	1.6819	0	[ 3.6459 -2.2233 -0.    ]
