h	k	l	d_spacing (Å)	theta (deg)	phi (deg)	delta (deg)	nu (deg)	qerror	errcode	hkl_back
0	2	0	1.9167	25.0	59.9998	0.0	10.0902	3.0933	0	[0.     0.1763 0.94  ]
0	0	-10	0.7421	20.0	0.0	0.0	0.0	8.4666	0	[0. 0. 0.]
2	0	-4	1.3331	20.0	0.0	0.0	0.0	4.7134	0	[0. 0. 0.]
1	0	-8	0.9016	20.0	0.0	0.0	0.0	6.9688	0	[0. 0. 0.]
0	1	-8	0.9016	20.0	0.0	0.0	0.0	6.9688	0	[0. 0. 0.]
2	2	0	1.1066	25.0	29.9941	0.0002	13.5445	5.4309	0	[0.1251 0.1251 1.2738]
3	0	0	1.2778	25.0	0.0	0.0	12.634	4.6866	0	[0.2071 0.     1.1854]
1	1	-6	1.0797	20.0	0.0	0.0	0.0	5.8194	0	[0. 0. 0.]
1	0	-10	0.7286	20.0	0.0	0.0	0.0	8.6238	0	[0. 0. 0.]
0	1	-10	0.7286	20.0	0.0	0.0	0.0	8.6238	0	[0. 0. 0.]
1	-1	-4	1.67	20.0	37.3952	15.7219	0.0	3.4634	0	[ 0.8026 -0.8025  0.0728]
2	0	-6	1.0393	20.0	0.0	0.0	0.0	6.0459	0	[0. 0. 0.]
2	1	-2	1.3496	20.0	0.0	0.0	0.0	4.6555	0	[0. 0. 0.]
1	2	0	1.4489	25.0	40.8939	0.0	11.8371	4.1203	0	[0.0748 0.1497 1.1082]
1	1	2	1.9008	25.0	30.0025	0.0	22.2863	2.396	0	[0.157  0.157  2.1339]
0	2	-2	1.7029	20.0	0.0	0.0	0.0	3.6897	0	[0. 0. 0.]
0	0	14	0.5301	25.0	0.0	0.0	60.0	7.0697	0	[-0.256  -0.      5.6646]
1	0	14	0.5251	25.0	0.0	0.0	60.0	7.3514	0	[-0.256  -0.      5.6646]
0	1	14	0.5251	25.0	0.0	0.0	60.0	7.3045	0	[-0.256  -0.      5.6646]
2	0	10	0.692	25.0	0.0	0.0	60.0	5.2103	0	[-0.256  -0.      5.6646]
1	2	4	1.1419	25.0	40.8944	0.0	33.8334	3.9899	0	[0.0908 0.1817 3.2763]
2	1	6	0.9407	25.0	19.1197	0.0006	44.292	4.4031	0	[0.0833 0.0417 4.2817]
3	0	4	1.0523	25.0	0.0	0.0	33.2892	4.5641	0	[0.2445 0.     3.2229]
2	0	0	1.9167	25.0	0.0	0.0	10.0902	3.0933	0	[0.1763 0.     0.94  ]
1	-1	8	0.9016	25.0	60.0	30.0	60.0	1.8567	0	[ 0.8479 -0.8583  5.8256]
0	2	6	1.0393	25.0	0.0	0.0	51.9012	3.4252	0	[-0.0426  0.      4.9759]
1	0	16	0.4605	25.0	0.0	0.0	60.0	8.9895	0	[-0.256  -0.      5.6646]
0	1	16	0.4605	25.0	0.0	0.0	60.0	8.9512	0	[-0.256  -0.      5.6646]
2	0	12	0.5885	25.0	0.0	0.0	60.0	6.515	0	[-0.256  -0.      5.6646]
1	1	8	0.8555	25.0	0.0	0.0	59.785	3.7694	0	[-0.2497 -0.      5.6471]
2	2	4	0.9504	25.0	29.9997	0.0	32.6684	5.3175	0	[0.1437 0.1437 3.1619]
3	0	6	0.8887	25.0	0.0	0.0	43.1674	4.953	0	[0.1288 0.     4.176 ]
1	2	6	0.9407	25.0	40.8896	0.0001	44.2925	4.4031	0	[0.0417 0.0833 4.2818]
0	0	-12	0.6184	20.0	0.0	0.0	0.0	10.16	0	[0. 0. 0.]
1	0	-12	0.6105	20.0	0.0	0.0	0.0	10.2913	0	[0. 0. 0.]
0	1	-12	0.6105	20.0	0.0	0.0	0.0	10.2913	0	[0. 0. 0.]
1	1	-8	0.8555	20.0	0.0	0.0	0.0	7.3442	0	[0. 0. 0.]
